size,time
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,1
1700,1
1800,1
1900,1
2000,1
2100,1
2200,1
2300,1
2400,1
2500,1
2600,1
2700,1
2800,1
2900,1
3000,1
3100,2
3200,2
3300,2
3400,2
3500,2
3600,2
3700,2
3800,2
3900,2
4000,2
4100,2
4200,2
4300,2
4400,2
4500,3
4600,3
4700,3
4800,3
4900,3
5000,3
5100,3
5200,3
5300,3
5400,3
5500,3
5600,3
5700,3
5800,3
5900,4
6000,4
6100,4
6200,4
6300,4
6400,4
6500,4
6600,4
6700,4
6800,4
6900,4
7000,4
7100,4
7200,4
7300,4
7400,5
7500,5
7600,5
7700,5
7800,5
7900,5
8000,5
8100,5
8200,5
8300,5
8400,5
8500,5
8600,5
8700,6
8800,5
8900,6
9000,6
9100,6
9200,6
9300,6
9400,6
9500,6
9600,6
9700,6
9800,6
9900,6
10000,6
10100,6
10200,6
10300,7
10400,7
10500,7
10600,7
10700,7
10800,7
10900,7
11000,7
11100,7
11200,7
11300,7
11400,7
11500,8
11600,7
11700,7
11800,8
11900,8
12000,8
12100,8
12200,8
12300,8
12400,8
12500,8
12600,8
12700,8
12800,8
12900,9
13000,9
13100,9
13200,9
13300,9
13400,9
13500,9
13600,9
13700,9
13800,9
13900,9
14000,9
14100,9
14200,9
14300,9
14400,10
14500,9
14600,10
14700,10
14800,10
14900,10
15000,10
15100,10
15200,10
15300,10
15400,10
15500,10
15600,10
15700,10
15800,10
15900,10
16000,10
16100,11
16200,11
16300,11
16400,11
16500,11
16600,11
16700,11
16800,11
16900,11
17000,12
17100,11
17200,12
17300,11
17400,12
17500,12
17600,12
17700,12
17800,12
17900,12
18000,12
18100,12
18200,12
18300,12
18400,13
18500,12
18600,12
18700,12
18800,13
18900,13
19000,13
19100,13
19200,13
19300,13
19400,13
19500,13
19600,14
19700,13
19800,14
19900,13
20000,14
20100,14
20200,14
20300,13
20400,14
20500,14
20600,14
20700,14
20800,14
20900,14
21000,14
21100,14
21200,15
21300,14
21400,15
21500,15
21600,15
