size,time
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,1
1600,1
1700,1
1800,1
1900,1
2000,1
2100,1
2200,1
2300,1
2400,1
2500,1
2600,1
2700,1
2800,1
2900,1
3000,2
3100,2
3200,2
3300,2
3400,2
3500,2
3600,2
3700,2
3800,2
3900,2
4000,2
4100,2
4200,3
4300,3
4400,3
4500,3
4600,3
4700,3
4800,3
4900,3
5000,3
5100,3
5200,3
5300,3
5400,3
5500,4
5600,4
5700,4
5800,4
5900,4
6000,4
6100,4
6200,4
6300,4
6400,4
6500,4
6600,4
6700,4
6800,5
6900,5
7000,5
7100,5
7200,5
7300,5
7400,5
7500,5
7600,5
7700,5
7800,5
7900,5
8000,5
8100,5
8200,6
8300,6
8400,6
8500,6
8600,6
8700,6
8800,6
8900,6
9000,6
9100,6
9200,6
9300,7
9400,7
9500,7
9600,7
9700,7
9800,7
9900,7
10000,7
10100,7
10200,7
10300,7
10400,7
10500,8
10600,7
10700,8
10800,8
10900,8
11000,8
11100,8
11200,8
11300,8
11400,8
11500,8
11600,9
11700,9
11800,9
11900,9
12000,9
12100,9
12200,9
12300,9
12400,9
12500,9
12600,9
12700,9
12800,9
12900,9
13000,10
13100,10
13200,10
13300,10
13400,10
13500,10
13600,10
13700,10
13800,10
13900,10
14000,11
14100,10
14200,11
14300,10
14400,11
14500,11
14600,11
14700,11
14800,11
14900,11
15000,11
15100,11
15200,11
15300,11
15400,12
15500,12
15600,12
15700,12
15800,12
15900,12
16000,12
16100,12
16200,12
16300,12
16400,13
16500,12
16600,13
16700,12
16800,13
16900,13
17000,13
17100,13
17200,13
17300,13
17400,13
17500,13
17600,13
17700,14
17800,14
17900,14
18000,14
18100,14
18200,14
18300,14
18400,14
18500,14
18600,14
18700,14
18800,14
18900,14
19000,15
19100,15
19200,15
19300,15
19400,15
19500,15
19600,15
19700,15
19800,15
19900,15
20000,15
20100,15
20200,16
20300,16
20400,16
20500,16
20600,16
20700,16
20800,16
20900,16
21000,16
21100,16
21200,16
21300,16
21400,17
21500,17
21600,17
