size,time
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,0
1700,0
1800,0
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,0
2600,0
2700,0
2800,0
2900,0
3000,0
3100,0
3200,0
3300,0
3400,0
3500,0
3600,0
3700,0
3800,0
3900,1
4000,1
4100,1
4200,1
4300,1
4400,1
4500,1
4600,1
4700,1
4800,1
4900,1
5000,1
5100,1
5200,1
5300,1
5400,1
5500,1
5600,1
5700,1
5800,1
5900,1
6000,1
6100,1
6200,1
6300,1
6400,1
6500,1
6600,1
6700,1
6800,1
6900,1
7000,1
7100,1
7200,1
7300,2
7400,2
7500,2
7600,2
7700,2
7800,2
7900,2
8000,2
8100,2
8200,2
8300,2
8400,2
8500,2
8600,2
8700,2
8800,2
8900,2
9000,2
9100,2
9200,2
9300,3
9400,3
9500,3
9600,3
9700,3
9800,3
9900,3
10000,3
10100,3
10200,3
10300,3
10400,3
10500,3
10600,3
10700,3
10800,3
10900,3
11000,3
11100,3
11200,3
11300,3
11400,3
11500,3
11600,3
11700,3
11800,3
11900,3
12000,3
12100,3
12200,3
12300,3
12400,3
12500,3
12600,3
12700,3
12800,3
12900,3
13000,3
13100,3
13200,4
13300,4
13400,4
13500,4
13600,4
13700,4
13800,4
13900,4
14000,4
14100,4
14200,4
14300,4
14400,4
14500,4
14600,4
14700,4
14800,4
14900,4
15000,4
15100,4
15200,4
15300,4
15400,4
15500,4
15600,4
15700,5
15800,5
15900,5
16000,5
16100,5
16200,5
16300,5
16400,5
16500,5
16600,5
16700,5
16800,5
16900,5
17000,6
17100,6
17200,6
17300,6
17400,6
17500,6
17600,6
17700,6
17800,6
17900,6
18000,6
18100,6
18200,6
18300,6
18400,6
18500,6
18600,6
18700,6
18800,6
18900,6
19000,6
19100,6
19200,6
19300,6
19400,6
19500,6
19600,6
19700,6
19800,6
19900,6
20000,6
20100,6
20200,6
20300,6
20400,6
20500,6
20600,6
20700,7
20800,7
20900,7
21000,7
21100,7
21200,7
21300,7
21400,7
21500,7
21600,7
