size,time
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,0
1700,0
1800,0
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,0
2600,0
2700,0
2800,0
2900,0
3000,0
3100,0
3200,0
3300,0
3400,0
3500,0
3600,0
3700,0
3800,0
3900,0
4000,0
4100,1
4200,1
4300,1
4400,1
4500,1
4600,1
4700,1
4800,1
4900,1
5000,1
5100,1
5200,1
5300,1
5400,1
5500,1
5600,1
5700,1
5800,1
5900,1
6000,1
6100,1
6200,1
6300,1
6400,1
6500,1
6600,1
6700,1
6800,1
6900,1
7000,1
7100,1
7200,1
7300,1
7400,1
7500,1
7600,1
7700,1
7800,1
7900,1
8000,2
8100,2
8200,2
8300,2
8400,2
8500,2
8600,2
8700,2
8800,2
8900,2
9000,2
9100,2
9200,2
9300,2
9400,2
9500,2
9600,2
9700,2
9800,2
9900,2
10000,2
10100,2
10200,2
10300,2
10400,2
10500,2
10600,2
10700,2
10800,2
10900,2
11000,2
11100,2
11200,2
11300,2
11400,2
11500,2
11600,2
11700,2
11800,2
11900,2
12000,2
12100,2
12200,2
12300,2
12400,2
12500,3
12600,3
12700,3
12800,3
12900,3
13000,3
13100,3
13200,3
13300,3
13400,3
13500,3
13600,3
13700,3
13800,3
13900,3
14000,3
14100,3
14200,3
14300,3
14400,3
14500,3
14600,3
14700,3
14800,3
14900,3
15000,3
15100,3
15200,3
15300,3
15400,3
15500,3
15600,3
15700,3
15800,4
15900,4
16000,4
16100,4
16200,4
16300,4
16400,4
16500,4
16600,4
16700,4
16800,4
16900,4
17000,4
17100,4
17200,4
17300,4
17400,4
17500,4
17600,4
17700,4
17800,4
17900,4
18000,4
18100,5
18200,5
18300,5
18400,5
18500,5
18600,5
18700,5
18800,5
18900,5
19000,5
19100,5
19200,5
19300,5
19400,5
19500,5
19600,5
19700,5
19800,5
19900,5
20000,5
20100,5
20200,5
20300,5
20400,5
20500,5
20600,5
20700,5
20800,5
20900,5
21000,5
21100,5
21200,5
21300,5
21400,5
21500,5
21600,5
