threshold,size,time
5,10000,3
5,10100,3
5,10200,3
5,10300,3
5,10400,3
5,10500,3
5,10600,4
5,10700,4
5,10800,4
5,10900,4
5,11000,4
5,11100,4
5,11200,4
5,11300,4
5,11400,4
5,11500,4
5,11600,5
5,11700,5
5,11800,5
5,11900,5
5,12000,5
5,12100,5
5,12200,5
5,12300,5
5,12400,5
5,12500,5
5,12600,5
5,12700,5
5,12800,5
5,12900,5
5,13000,5
5,13100,5
5,13200,5
5,13300,6
5,13400,6
5,13500,6
5,13600,6
5,13700,6
5,13800,6
5,13900,6
5,14000,6
5,14100,6
5,14200,6
5,14300,6
5,14400,6
5,14500,6
5,14600,6
5,14700,6
5,14800,6
5,14900,6
5,15000,6
5,15100,6
5,15200,6
5,15300,6
5,15400,6
5,15500,6
5,15600,6
5,15700,6
5,15800,6
5,15900,6
5,16000,6
5,16100,6
5,16200,6
5,16300,6
5,16400,6
5,16500,6
5,16600,6
5,16700,6
5,16800,6
5,16900,6
5,17000,6
5,17100,6
5,17200,6
5,17300,6
5,17400,6
5,17500,6
5,17600,6
5,17700,6
5,17800,6
5,17900,6
5,18000,6
5,18100,6
5,18200,6
5,18300,6
5,18400,6
5,18500,7
5,18600,7
5,18700,7
5,18800,7
5,18900,7
5,19000,7
5,19100,7
5,19200,7
5,19300,7
5,19400,7
5,19500,7
5,19600,7
5,19700,7
5,19800,7
5,19900,7
5,20000,7
5,20100,7
5,20200,7
5,20300,7
5,20400,7
5,20500,7
5,20600,7
5,20700,7
5,20800,7
5,20900,8
5,21000,8
5,21100,8
5,21200,8
5,21300,8
5,21400,8
5,21500,8
5,21600,8
5,21700,8
5,21800,8
5,21900,8
5,22000,9
5,22100,9
5,22200,9
5,22300,9
5,22400,9
5,22500,9
5,22600,9
5,22700,9
5,22800,9
5,22900,9
5,23000,10
5,23100,10
5,23200,10
5,23300,10
5,23400,10
5,23500,10
5,23600,10
5,23700,10
5,23800,10
5,23900,11
5,24000,11
5,24100,11
5,24200,11
5,24300,11
5,24400,11
5,24500,11
5,24600,11
5,24700,11
5,24800,11
5,24900,11
5,25000,11
5,25100,11
5,25200,12
