threshold,size,time
5,10000,6
5,10100,5
5,10200,5
5,10300,5
5,10400,5
5,10500,4
5,10600,4
5,10700,4
5,10800,4
5,10900,5
5,11000,5
5,11100,5
5,11200,5
5,11300,5
5,11400,5
5,11500,5
5,11600,5
5,11700,5
5,11800,5
5,11900,5
5,12000,6
5,12100,6
5,12200,6
5,12300,6
5,12400,6
5,12500,6
5,12600,6
5,12700,6
5,12800,6
5,12900,6
5,13000,6
5,13100,6
5,13200,6
5,13300,6
5,13400,6
5,13500,6
5,13600,6
5,13700,6
5,13800,6
5,13900,6
5,14000,7
5,14100,7
5,14200,7
5,14300,7
5,14400,7
5,14500,7
5,14600,7
5,14700,7
5,14800,7
5,14900,7
5,15000,7
5,15100,7
5,15200,7
5,15300,7
5,15400,7
5,15500,7
5,15600,7
5,15700,7
5,15800,7
5,15900,7
5,16000,7
5,16100,7
5,16200,7
5,16300,7
5,16400,7
5,16500,7
5,16600,7
5,16700,7
5,16800,7
5,16900,7
5,17000,7
5,17100,7
5,17200,7
5,17300,7
5,17400,7
5,17500,7
5,17600,7
5,17700,7
5,17800,7
5,17900,7
5,18000,7
5,18100,7
5,18200,8
5,18300,8
5,18400,8
5,18500,8
5,18600,8
5,18700,8
5,18800,8
5,18900,8
5,19000,8
5,19100,8
5,19200,8
5,19300,8
5,19400,8
5,19500,8
5,19600,8
5,19700,8
5,19800,8
5,19900,8
5,20000,8
5,20100,8
5,20200,8
5,20300,8
5,20400,8
5,20500,8
5,20600,8
5,20700,8
5,20800,9
5,20900,9
5,21000,9
5,21100,9
5,21200,9
5,21300,9
5,21400,9
5,21500,10
5,21600,10
5,21700,10
5,21800,10
5,21900,10
5,22000,10
5,22100,10
5,22200,10
5,22300,10
5,22400,11
5,22500,11
5,22600,11
5,22700,11
5,22800,11
5,22900,11
5,23000,11
5,23100,11
5,23200,11
5,23300,12
5,23400,12
5,23500,12
5,23600,12
5,23700,12
5,23800,12
5,23900,12
5,24000,12
5,24100,12
5,24200,12
5,24300,13
5,24400,13
5,24500,13
5,24600,13
5,24700,13
5,24800,13
5,24900,13
5,25000,13
5,25100,13
5,25200,13
5,25300,13
5,25400,13
5,25500,13
5,25600,13
5,25700,13
5,25800,13
5,25900,13
5,26000,13
5,26100,13
5,26200,13
5,26300,13
5,26400,13
5,26500,14
5,26600,14
5,26700,14
5,26800,14
5,26900,14
5,27000,14
5,27100,14
5,27200,14
5,27300,14
5,27400,14
5,27500,14
5,27600,14
5,27700,14
5,27800,14
5,27900,14
5,28000,14
5,28100,14
5,28200,14
5,28300,14
5,28400,14
5,28500,14
5,28600,14
5,28700,14
5,28800,14
5,28900,14
5,29000,14
5,29100,14
5,29200,14
5,29300,14
5,29400,14
5,29500,14
5,29600,14
5,29700,15
5,29800,15
5,29900,15
5,30000,15
5,30100,15
5,30200,15
5,30300,15
5,30400,15
5,30500,15
5,30600,15
5,30700,15
5,30800,15
5,30900,15
5,31000,15
5,31100,14
5,31200,15
5,31300,15
5,31400,15
5,31500,15
5,31600,15
5,31700,15
5,31800,15
5,31900,15
5,32000,15
5,32100,15
5,32200,15
5,32300,15
5,32400,15
5,32500,15
5,32600,15
5,32700,15
5,32800,15
5,32900,15
5,33000,15
5,33100,15
5,33200,15
5,33300,16
5,33400,15
5,33500,16
5,33600,16
5,33700,16
5,33800,16
5,33900,16
5,34000,16
5,34100,16
5,34200,16
5,34300,16
5,34400,15
5,34500,16
5,34600,16
5,34700,16
5,34800,16
5,34900,16
5,35000,17
5,35100,18
5,35200,16
5,35300,16
5,35400,17
5,35500,16
5,35600,16
5,35700,16
5,35800,16
5,35900,16
5,36000,16
5,36100,16
5,36200,16
5,36300,29
5,36400,30
5,36500,17
5,36600,17
5,36700,17
5,36800,17
5,36900,17
5,37000,17
5,37100,17
5,37200,17
5,37300,17
5,37400,17
5,37500,17
5,37600,17
5,37700,18
5,37800,19
5,37900,17
5,38000,17
5,38100,17
5,38200,17
5,38300,17
5,38400,18
5,38500,18
5,38600,18
5,38700,18
5,38800,18
5,38900,18
5,39000,18
5,39100,18
5,39200,17
5,39300,18
5,39400,18
5,39500,18
5,39600,18
5,39700,18
5,39800,18
5,39900,18
5,40000,18
5,40100,18
5,40200,18
5,40300,18
5,40400,18
5,40500,18
5,40600,18
5,40700,18
5,40800,18
5,40900,18
5,41000,18
5,41100,19
5,41200,18
5,41300,18
5,41400,18
5,41500,18
5,41600,19
5,41700,19
5,41800,19
5,41900,23
5,42000,20
5,42100,19
5,42200,20
5,42300,20
5,42400,19
5,42500,20
5,42600,24
5,42700,24
5,42800,20
5,42900,20
5,43000,20
5,43100,21
5,43200,22
5,43300,20
5,43400,21
5,43500,21
5,43600,21
5,43700,21
5,43800,21
5,43900,22
5,44000,22
5,44100,22
5,44200,22
5,44300,23
